Recording date:	2016/06/07
Recording time:	15:34:38
Recording resolution	1024 x 768

pygaze initiation report start
display resolution: 1024x768
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
pygaze calibration report start
samplerate: 120 Hz
sampletime: 8.33205667182 ms
accuracy (in pixels): LX=509.9068, LY=382.3034, RX=509.9308, RY=382.2862
precision (RMS noise in pixels): X=209.745083375, Y=172.68178827
distance between participant and display: 57.0 cm
fixation threshold: 43.7594828432 pixels
speed threshold: 1.02082144273 pixels/ms
accuracy threshold: 279.647443825 pixels/ms**2
pygaze calibration report end
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
699.9	554.0374	395.9277	0	529.7073	391.7608	0	0.5292	0.5128	
708.3	555.2243	400.8721	0	528.6861	400.1860	0	0.5293	0.5215	
716.5	554.6853	383.7911	0	529.3732	395.1056	0	0.5293	0.5071	
724.9	555.8158	390.8198	0	533.7654	396.5791	0	0.5320	0.5126	
733.2	554.4486	394.5902	0	535.8144	405.8996	0	0.5324	0.5212	
741.6	552.2722	400.2047	0	533.1496	396.1794	0	0.5300	0.5185	
749.9	552.6481	398.6700	0	533.1601	397.2002	0	0.5302	0.5181	
758.2	551.5349	402.7870	0	532.8943	394.9487	0	0.5295	0.5194	
766.5	552.8344	394.6564	0	533.2955	394.2041	0	0.5303	0.5136	
774.9	515.7851	376.9970	0	511.0600	373.6772	0	0.5014	0.4887	
783.3	464.2462	297.5746	0	470.3928	325.8627	0	0.4564	0.4059	
791.5	432.3602	245.3165	0	433.0076	248.0769	0	0.4225	0.3212	
799.9	394.4748	200.7919	0	392.8902	210.7225	0	0.3845	0.2679	
808.2	353.6229	161.2837	0	358.8489	151.7633	0	0.3479	0.2038	
816.6	331.3258	129.2338	0	336.9203	112.4248	0	0.3263	0.1573	
824.9	302.8906	90.4240	0	308.8826	92.2250	0	0.2987	0.1189	
833.2	270.1805	65.7888	0	282.5813	73.4600	0	0.2699	0.0907	
841.5	260.5524	40.7149	0	257.7887	53.3408	0	0.2531	0.0612	
849.9	267.8668	55.5857	0	265.5361	57.5808	0	0.2605	0.0737	
858.2	258.5173	48.4593	0	266.8450	55.4713	0	0.2565	0.0677	
866.6	262.9413	52.7029	0	262.5281	47.8195	0	0.2566	0.0654	
874.9	263.4053	41.8751	0	262.5884	57.8705	0	0.2568	0.0649	
883.2	261.5423	45.7135	0	264.4637	61.8976	0	0.2568	0.0701	
891.6	264.7131	46.2834	0	265.8386	60.1745	0	0.2591	0.0693	
899.9	267.0920	45.9557	0	265.5813	58.4668	0	0.2601	0.0680	
908.2	264.6739	47.5939	0	264.7106	54.3520	0	0.2585	0.0664	
916.5	260.8575	53.6222	0	260.1945	54.0509	0	0.2544	0.0701	
924.9	274.2915	60.2619	0	264.9205	61.1609	0	0.2633	0.0791	
933.2	267.6544	50.4063	0	264.3389	55.2390	0	0.2598	0.0688	
941.6	266.4168	47.4481	0	264.0980	54.9215	0	0.2590	0.0666	
949.9	264.5117	43.6830	0	264.5590	56.1201	0	0.2583	0.0650	
958.2	264.4897	42.1026	0	263.4200	56.0361	0	0.2578	0.0639	
966.5	263.2057	41.9940	0	265.4142	55.5585	0	0.2581	0.0635	
974.9	267.1157	44.3748	0	263.7193	49.6960	0	0.2592	0.0612	
983.2	267.3231	35.5909	0	264.3305	52.6784	0	0.2596	0.0575	
991.5	268.3840	42.0003	0	264.5121	54.6176	0	0.2602	0.0629	
999.8	266.4729	35.3622	0	265.6173	56.9629	0	0.2598	0.0601	
1008.2	265.2612	46.8443	0	265.1680	60.4072	0	0.2590	0.0698	
1016.6	267.0832	42.3641	0	267.3995	58.4040	0	0.2610	0.0656	
1024.8	262.5445	41.4696	0	259.4619	55.9242	0	0.2549	0.0634	
1033.2	262.4701	45.3268	0	262.3427	63.7143	0	0.2563	0.0710	
1041.5	263.7565	44.1931	0	258.5747	64.7465	0	0.2550	0.0709	
1049.9	262.9323	43.9983	0	256.4983	54.0887	0	0.2536	0.0639	
1058.2	267.9546	47.9842	0	261.7324	59.7403	0	0.2586	0.0701	
1066.5	262.7995	43.1812	0	262.0202	54.5568	0	0.2563	0.0636	
1074.8	269.4787	39.2416	0	260.4873	56.8759	0	0.2588	0.0626	
1083.2	264.6936	42.0652	0	259.4409	59.5671	0	0.2559	0.0662	
1091.6	263.3612	36.8466	0	264.0782	56.3840	0	0.2575	0.0607	
1099.8	264.4542	41.4499	0	263.2107	53.3169	0	0.2576	0.0617	
1108.1	263.0849	45.8037	0	260.8583	54.6542	0	0.2558	0.0654	
1116.5	269.4127	45.6247	0	265.6598	56.3385	0	0.2613	0.0664	
1124.9	265.2321	42.5779	0	263.2245	52.6149	0	0.2580	0.0620	
1133.2	267.1889	47.4539	0	261.0585	52.6864	0	0.2579	0.0652	
1141.5	267.6159	40.2994	0	264.2997	53.9228	0	0.2597	0.0613	
1149.8	267.2806	38.7733	0	268.1595	56.7761	0	0.2614	0.0622	
1158.2	263.3855	41.2641	0	267.3585	52.5892	0	0.2592	0.0611	
1166.5	269.4485	45.2940	0	263.4747	57.1398	0	0.2602	0.0667	
1174.9	268.9080	40.1842	0	265.4871	55.6018	0	0.2609	0.0624	
1183.2	288.6895	48.9017	0	281.8808	52.4653	0	0.2786	0.0660	
1191.5	334.5550	58.1235	0	340.8420	65.5490	0	0.3298	0.0805	
1199.8	392.5258	60.2374	0	395.8516	61.9459	0	0.3849	0.0795	
1208.2	448.6004	57.6247	0	454.7498	55.3818	0	0.4411	0.0736	
1216.5	503.6946	67.4649	0	507.1466	61.4477	0	0.4936	0.0839	
1224.8	548.6601	68.4646	0	557.2120	64.9987	0	0.5400	0.0869	
1233.1	595.3413	67.9403	0	608.7318	52.2740	0	0.5879	0.0783	
1241.5	643.6730	70.4502	0	653.0517	58.3661	0	0.6332	0.0839	
1249.9	681.9906	73.2884	0	699.8807	62.4880	0	0.6747	0.0884	
1258.1	734.3107	69.2262	0	745.5101	68.4193	0	0.7226	0.0896	
1266.5	770.9991	75.1009	0	785.3818	60.8318	0	0.7600	0.0885	
1274.8	805.8942	71.6031	0	818.9325	62.3790	0	0.7934	0.0872	
1283.2	818.9877	76.2859	0	838.2794	58.4394	0	0.8092	0.0877	
1291.5	814.5598	72.5807	0	829.6775	53.4838	0	0.8029	0.0821	
1299.8	814.9735	69.6611	0	829.6857	57.8007	0	0.8031	0.0830	
1308.1	819.4315	68.6845	0	834.6350	51.8382	0	0.8076	0.0785	
1316.5	816.8856	72.6537	0	826.4448	62.3957	0	0.8024	0.0879	
1324.9	824.0202	75.6709	0	834.3153	50.3723	0	0.8097	0.0821	
1333.1	821.0621	70.4418	0	827.9847	58.1664	0	0.8052	0.0837	
1341.5	817.2168	72.3141	0	834.6296	57.6322	0	0.8066	0.0846	
1349.8	819.0972	68.5150	0	826.6294	53.3772	0	0.8036	0.0794	
1358.2	817.0542	71.5693	0	831.0824	58.6032	0	0.8048	0.0847	
1366.5	811.9712	76.2158	0	826.4363	57.9503	0	0.8000	0.0873	
1374.8	817.5829	58.1846	0	831.4095	47.4174	0	0.8052	0.0688	
1383.1	819.3169	66.9514	0	826.7152	58.7702	0	0.8037	0.0818	
1391.5	819.6794	73.1478	0	830.4149	51.8874	0	0.8057	0.0814	
1399.8	820.1581	64.9309	0	828.4212	55.0487	0	0.8050	0.0781	
1408.1	814.6599	79.2052	0	826.3093	50.9089	0	0.8013	0.0847	
1416.4	820.0122	75.5283	0	827.2921	59.9900	0	0.8043	0.0882	
1424.8	816.5308	77.8188	0	831.0105	51.3459	0	0.8045	0.0841	
1433.1	815.2843	78.7412	0	826.3528	57.6791	0	0.8016	0.0888	
1441.5	822.6931	60.8027	0	826.6371	57.2661	0	0.8053	0.0769	
1449.8	818.4644	71.5818	0	833.1364	49.8835	0	0.8064	0.0791	
1458.1	821.1215	66.1616	0	833.0625	44.3068	0	0.8077	0.0719	
1466.5	817.4496	68.5264	0	829.9920	52.5534	0	0.8044	0.0788	
1474.8	822.4852	68.6450	0	831.6900	50.9309	0	0.8077	0.0778	
1483.2	819.2080	69.9240	0	829.1450	50.8842	0	0.8049	0.0787	
1491.4	820.6712	64.5198	0	828.2492	48.6843	0	0.8051	0.0737	
